SB02_Trial17,SB02_Trial2,SB02_Trial12,SB02_Trial7,SB02_Trial22,SB02_Trial31,SB05_Trial31,SB05_Trial22,SB05_Trial12,SB05_Trial7,SB05_Trial17,SB05_Trial2,SB04_Trial2,SB04_Trial17,SB04_Trial7,SB04_Trial12,SB04_Trial22,SB04_Trial31,SB06_Trial22,SB06_Trial31,SB06_Trial2,SB06_Trial17,SB06_Trial7,SB06_Trial12,SB08_Trial22,SB08_Trial31,SB08_Trial17,SB08_Trial2,SB08_Trial12,SB08_Trial7,SB01_Trial2,SB01_Trial17,SB01_Trial7,SB01_Trial12,SB01_Trial22,SB01_Trial31
-0.51397883,0.382391162,3.478111481,-0.221257284,-0.540507348,-1.699791599,-0.503389652,-1.584383052,1.682825495,1.215605074,-0.686828841,3.736475482,2.922617873,1.981541063,1.711189997,-1.623256104,1.485616544,2.317305566,1.70017642,-0.291128699,1.524639178,0.973165524,-1.051923387,1.340406173,-0.328744433,-0.540703607,1.619585163,-0.483028078,-0.791810314,0.65682347,2.714297413,2.911249823,1.805321053,0.620661302,2.966580114,-1.458617467
-0.530084287,0.38334777,3.480487747,-0.194261713,-0.532596944,-1.704240544,-0.512412756,-1.564253395,1.654737138,1.199517012,-0.677246231,3.714449074,2.921762079,1.976404567,1.640928123,-1.627938133,1.471048276,2.31738058,1.698706301,-0.320239867,1.521296068,0.979396692,-1.052589139,1.340735539,-0.334036652,-0.535642479,1.630510783,-0.475914146,-0.793260576,0.651141207,2.717696496,2.916187099,1.804875315,0.621866671,2.949866865,-1.461796381
-0.545670213,0.3844957,3.482409382,-0.167461763,-0.524708094,-1.70859483,-0.52119841,-1.544157973,1.627168295,1.18342895,-0.668178461,3.692422665,2.920692337,1.971423721,1.571642108,-1.632576404,1.456536256,2.317145537,1.697271465,-0.348624047,1.518081539,0.98548295,-1.05325489,1.340958574,-0.339079825,-0.53052017,1.640964593,-0.469155909,-0.794684026,0.645211889,2.720941075,2.921030925,1.804318144,0.622925934,2.933340804,-1.464945662
-0.560781785,0.385452309,3.48387873,-0.141053052,-0.516840798,-1.712854458,-0.530221513,-1.524131018,1.600123912,1.167525808,-0.659626297,3.670606032,2.919836544,1.966598528,1.502844023,-1.637127161,1.442249229,2.31660294,1.695836629,-0.376281237,1.515252754,0.991409806,-1.053421328,1.341077872,-0.343936214,-0.525336487,1.650948806,-0.462397673,-0.796078227,0.639282572,2.724185654,2.925765726,1.803760972,0.623839092,2.916921708,-1.468070696
-0.575373825,0.386600239,3.484895791,-0.114644342,-0.508995056,-1.717043092,-0.539244617,-1.504104064,1.573599043,1.151622667,-0.651592029,3.648579623,2.918766802,1.961890072,1.435021797,-1.641590403,1.428074698,2.315755287,1.694425316,-0.403195634,1.512423969,0.997191752,-1.053587766,1.341089542,-0.348605819,-0.520089506,1.660464525,-0.455995134,-0.797445617,0.633353254,2.727430233,2.930422651,1.803315235,0.624606145,2.9006898,-1.471168791
-0.589468924,0.387556847,3.485458221,-0.088626871,-0.501166079,-1.721160733,-0.548267721,-1.484111344,1.547598635,1.135904445,-0.644075657,3.62676299,2.91769706,1.957376181,1.36866336,-1.645966131,1.414068911,2.314595079,1.693037523,-0.429383042,1.509980927,1.002830235,-1.053421328,1.340996179,-0.353026379,-0.514781151,1.669511751,-0.449770443,-0.798786195,0.627176881,2.730520308,2.934986127,1.802758063,0.625263619,2.884591598,-1.474239945
-0.603067079,0.388704777,3.485570707,-0.063000641,-0.493361052,-1.72516005,-0.557528274,-1.464152858,1.52211774,1.120186224,-0.637077182,3.604736581,2.91641337,1.952979029,1.302792853,-1.650298101,1.400175621,2.313129816,1.691673253,-0.454843461,1.507666466,1.008309316,-1.053088452,1.340795188,-0.357260154,-0.509411808,1.678091588,-0.4437236,-0.800095087,0.620753453,2.733610383,2.939440578,1.802200891,0.625774987,2.868627102,-1.47728416
-0.616168292,0.389852707,3.485226218,-0.037374411,-0.485577578,-1.729088374,-0.566788828,-1.444228605,1.497166254,1.104652922,-0.630600422,3.582919947,2.91512968,1.948737528,1.237898206,-1.654542557,1.386451075,2.311356997,1.690308983,-0.479592696,1.505609168,1.013640588,-1.052589139,1.340487866,-0.361244883,-0.503982822,1.686206247,-0.437854605,-0.801374729,0.614330026,2.736545955,2.943801579,1.801643719,0.62614025,2.852823053,-1.480304128
-0.628749975,0.391000637,3.484431786,-0.012139421,-0.477810869,-1.732945704,-0.576049382,-1.424338587,1.472734282,1.089304542,-0.624643086,3.561103314,2.913632042,1.944612765,1.174467347,-1.658743255,1.372895273,2.309274122,1.688979996,-0.503630745,1.503680451,1.018821153,-1.051756949,1.340074214,-0.36510509,-0.498493232,1.693857937,-0.432163459,-0.802622686,0.607906598,2.739327022,2.94806913,1.801086548,0.626359408,2.837179452,-1.483297157
-0.640857303,0.392148567,3.483182723,0.012704329,-0.470068109,-1.73668471,-0.585309936,-1.404482804,1.448821823,1.073956161,-0.619207466,3.539286681,2.912134403,1.940682567,1.111524418,-1.662856439,1.359451968,2.306886193,1.687651008,-0.526941805,1.502008896,1.023851011,-1.050758322,1.339552934,-0.368716251,-0.492942845,1.701046659,-0.426650161,-0.803838956,0.601236116,2.742262594,2.952243231,1.800529376,0.626468987,2.821669557,-1.486260551
