SB02_Trial17,SB02_Trial2,SB02_Trial12,SB02_Trial7,SB02_Trial22,SB02_Trial31,SB05_Trial31,SB05_Trial22,SB05_Trial12,SB05_Trial7,SB05_Trial17,SB05_Trial2,SB04_Trial2,SB04_Trial17,SB04_Trial7,SB04_Trial12,SB04_Trial22,SB04_Trial31,SB06_Trial22,SB06_Trial31,SB06_Trial2,SB06_Trial17,SB06_Trial7,SB06_Trial12,SB08_Trial22,SB08_Trial31,SB08_Trial17,SB08_Trial2,SB08_Trial12,SB08_Trial7,SB01_Trial2,SB01_Trial17,SB01_Trial7,SB01_Trial12,SB01_Trial22,SB01_Trial31
0.130819617,2.500588837,0.02479668,-0.635616102,0.917158994,0.746490431,-0.21865342,0.467218042,-1.410814088,2.204546456,0.903843434,0.39804784,-0.029383765,0.810009105,1.856204079,1.033680908,3.265954823,0.666336485,-0.7204476,0.310193134,-0.435965712,1.391483389,-0.30172999,1.423626619,-0.139154477,0.181976551,0.348210452,-1.210327615,0.652596517,0.035232395,2.695117171,-1.301219575,-1.455412522,-0.883413826,-1.038562163,-0.373443582
0.121368908,2.502291325,0.031089679,-0.593133401,0.904583347,0.758193811,-0.21836218,0.480097762,-1.417283883,2.199757959,0.890806787,0.410238733,-0.060262128,0.815193352,1.880384352,1.034287089,3.22776681,0.657152528,-0.718564693,0.289905487,-0.438135177,1.396048559,-0.311288568,1.434529962,-0.172772087,0.177656133,0.30525857,-1.20713367,0.646617028,0.040045973,2.67157779,-1.273324666,-1.453202736,-0.880817727,-1.038843398,-0.400536848
0.111775006,2.503993812,0.037382679,-0.551281631,0.8920077,0.769273012,-0.217779698,0.492854818,-1.423256002,2.19455307,0.877674281,0.422429625,-0.090734197,0.820539607,1.903820618,1.03489327,3.189972487,0.647968571,-0.716263362,0.269762752,-0.440206029,1.40038547,-0.320673354,1.445433304,-0.206075514,0.173335715,0.262654477,-1.203762284,0.640867519,0.044474465,2.648424301,-1.245819896,-1.45119384,-0.878059372,-1.039124633,-0.427454184
0.102037911,2.505507135,0.043305501,-0.510271103,0.879648874,0.780196167,-0.217488457,0.505366546,-1.429476959,2.188931791,0.86435006,0.434398864,-0.121206265,0.826047869,1.927256883,1.035297391,3.152178165,0.639151972,-0.713962031,0.249764928,-0.44217827,1.404494122,-0.329884348,1.456109493,-0.238750574,0.169015298,0.220224278,-1.200390898,0.63511801,0.0490955,2.625270811,-1.218900333,-1.448984054,-0.875301017,-1.039124633,-0.454019659
0.092157624,2.507020457,0.049228324,-0.469681195,0.86750687,0.790651187,-0.217197216,0.51775561,-1.435449078,2.18289412,0.850929982,0.446589757,-0.15127204,0.831556131,1.94994914,1.035701511,3.115171224,0.630519053,-0.7116607,0.229767104,-0.444150511,1.408260387,-0.338921549,1.466785683,-0.271111451,0.16469488,0.178315761,-1.19684207,0.629828462,0.053716535,2.602117322,-1.192761048,-1.446975158,-0.872380406,-1.038843398,-0.480233274
0.081990951,2.508533779,0.055151147,-0.429932529,0.855364866,0.800794117,-0.216614735,0.529899346,-1.441172359,2.176440058,0.837414046,0.458558996,-0.18093152,0.837226401,1.972269392,1.035903572,3.077770593,0.622253492,-0.709150158,0.209914192,-0.445925527,1.411912522,-0.347784958,1.477234719,-0.303158145,0.160374462,0.136581139,-1.193115801,0.624768894,0.05833757,2.579349724,-1.167011902,-1.445167151,-0.869459795,-1.038280928,-0.506095028
0.071824279,2.510047102,0.06107397,-0.390814795,0.843656504,0.810624957,-0.216323494,0.541920418,-1.446646801,2.169569605,0.823706394,0.470528236,-0.210591001,0.843058679,1.993845636,1.036105632,3.041157343,0.61417161,-0.706430403,0.190206192,-0.447700544,1.41522227,-0.356300782,1.487683755,-0.334890656,0.156198059,0.095194306,-1.189389532,0.619709327,0.062766061,2.556582127,-1.141847963,-1.443158255,-0.866539184,-1.037718459,-0.531604921
0.061514414,2.511371259,0.066996793,-0.352538302,0.831948143,0.819987662,-0.215741012,0.553696162,-1.452370081,2.162282761,0.809807027,0.482497476,-0.239844187,0.849052965,2.015049876,1.036307692,3.004544093,0.606457086,-0.703710648,0.170643104,-0.44947556,1.418303759,-0.364816606,1.498132792,-0.3659948,0.151877641,0.054155261,-1.185663263,0.61510972,0.067387096,2.53420042,-1.117269232,-1.441350248,-0.863456316,-1.036874754,-0.556762954
0.050918164,2.512695416,0.07254944,-0.314682429,0.820456604,0.829194321,-0.215449771,0.565349242,-1.457595685,2.154579526,0.79590766,0.494245063,-0.268691079,0.85504725,2.035882112,1.036307692,2.968324534,0.598742562,-0.700781682,0.151080015,-0.451053353,1.421042861,-0.372984846,1.508354675,-0.39678476,0.147557223,0.013464004,-1.181759553,0.610740093,0.071815588,2.511818714,-1.093275709,-1.439542242,-0.860211193,-1.035749814,-0.581569126
0.040178721,2.514019573,0.078102086,-0.277667799,0.809181885,0.8377768,-0.21486729,0.576756993,-1.462821289,2.1464599,0.781816577,0.506214303,-0.297131676,0.861203544,2.055970339,1.036307692,2.932104975,0.591395396,-0.697852715,0.131661839,-0.452631145,1.423553704,-0.380979293,1.518349405,-0.427260538,0.14338082,-0.027053358,-1.177678401,0.606600447,0.07624408,2.489822899,-1.069867394,-1.437734235,-0.856966069,-1.03434364,-0.606199368
